|6.6.6
gloss1db_1.tab                                                                                      
           1
node #  
  0.000000000000000E+000
  0.000000000000000E+000
           0
          26
node#          P(bar)         T(K)           Stlp           Omph(GHP)      Omph(GHP)      clin           ab             san            q              stlb           cc             pyr            gph            Mica(CF)       Pu             law            arag           COH-Fluid+     Do(HP)         diam           M(HP)          coe            Grt(JH)        ky             stv           
  650.000        64901.0        1054.25        55.3109        51.4633                 NaN   52.1909        55.3109        52.1909        55.3109        55.3109        52.1909        52.1909        34.1183        34.1183        51.4633        55.3109        55.3109        100.000        16.2372        86.6364        16.2372        86.6262        14.1840        55.3109                 NaN
  651.000        65001.0        1054.59        55.3135        51.4657                 NaN   52.1934        55.3135        52.1934        55.3135        55.3135        52.1934        52.1934        34.1197        34.1197        51.4657        55.3135        55.3135        100.000        16.2385        86.6404        16.2385        86.6302        14.1852        55.3135                 NaN
  652.000        65101.0        1054.93        55.3155        51.4720                 NaN   52.1997        55.3155        52.1997        55.3155        55.3155        52.1997        52.1997        34.1545        34.1545        51.4720        55.3155        55.3155        100.000        16.2719        86.6441        16.2719        86.6340        14.2146        55.3155                 NaN
  653.000        65201.0        1055.27        55.3181        51.4744                 NaN   52.2023        55.3181        52.2023        55.3181        55.3181        52.2023        52.2023        34.1558        34.1558        51.4744        55.3181        55.3181        100.000        16.2732        86.6481        16.2732        86.6379        14.2158        55.3181                 NaN
  654.000        65301.0        1055.61        55.3206        51.4767                 NaN   52.2045        55.3206        52.2045        55.3206        55.3206        52.2045        52.2045        34.1587        34.1587        51.4767        55.3206        55.3206        100.000        16.2758        86.6521        16.2758        86.6419        14.2185        55.3206                 NaN
  655.000        65401.0        1055.95        55.3232        51.4791                 NaN   52.2070        55.3232        52.2070        55.3232        55.3232        52.2070        52.2070        34.1601        34.1601        51.4791        55.3232        55.3232        100.000        16.2770        86.6560        16.2770        86.6459        14.2196        55.3232                 NaN
  656.000        65501.0        1056.29        55.3257        51.4818                 NaN   52.2098        55.3257        52.2098        55.3257        55.3257        52.2098        52.2098        34.1600        34.1600        51.4818        55.3257        55.3257        100.000        16.2769        86.6600        16.2769        86.6498        14.2192        55.3257                 NaN
  657.000        65601.0        1056.62        55.3283        51.4840                 NaN   52.2120        55.3283        52.2120        55.3283        55.3283        52.2120        52.2120        34.1628        34.1628        51.4840        55.3283        55.3283        100.000        16.2796        86.6639        16.2796        86.6538        14.2219        55.3283                 NaN
  658.000        65701.0        1056.95        55.3306        51.4866                 NaN   52.2147        55.3306        52.2147        55.3306        55.3306        52.2147        52.2147        34.1745        34.1745        51.4866        55.3306        55.3306        100.000        16.2907        86.6678        16.2907        86.6577        14.2327        55.3306                 NaN
  659.000        65801.0        1057.28        55.3331        51.4899                 NaN   52.2180        55.3331        52.2180        55.3331        55.3331        52.2180        52.2180        34.1820        34.1820        51.4899        55.3331        55.3331        100.000        16.2980        86.6717        16.2980        86.6616        14.2390        55.3331                 NaN
  660.000        65901.0        1057.61        55.3355        51.5014                 NaN   52.2295        55.3355        52.2295        55.3355        55.3355        52.2295        52.2295        34.1924        34.1924        51.5014        55.3355        55.3355        100.000        16.3081        86.6756        16.3081        86.6655        14.2412        55.3355                 NaN
  661.000        66001.0        1057.94        55.3382        51.4992                 NaN   52.2275        55.3382        52.2275        55.3382        55.3382        52.2275        52.2275        34.1948        34.1948        51.4992        55.3382        55.3382        100.000        16.3102        86.6795        16.3102        86.6694        14.2471        55.3382                 NaN
  662.000        66101.0        1058.27        55.3406        51.5097                 NaN   52.2380        55.3406        52.2380        55.3406        55.3406        52.2380        52.2380        34.2040        34.2040        51.5097        55.3406        55.3406        100.000        16.3192        86.6834        16.3192        86.6733        14.2492        55.3406                 NaN
  663.000        66201.0        1058.59        55.3410        51.5105                 NaN   52.2389        55.3410        52.2389        55.3410        55.3410        52.2389        52.2389        34.2059        34.2059        51.5105        55.3410        55.3410        100.000        16.3324        86.6860        16.3324        86.6760        14.2611        55.3410                 NaN
  664.000        66301.0        1058.92        55.3435        51.5130                 NaN   52.2414        55.3435        52.2414        55.3435        55.3435        52.2414        52.2414        34.2073        34.2073        51.5130        55.3435        55.3435        100.000        16.3337        86.6900        16.3337        86.6799        14.2623        55.3435                 NaN
