|6.6.6
gloss1di_1.tab                                                                                      
           1
n(H2O)  
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
n(H2O)         node#          Grt(JH)        Mica(CF)       Do(HP)         Omph(GHP)      COH-Fluid+     law            coe            pyr            M(HP)          ky            
  15.1000        152.000        32.5853        60.6759        4.19716        50.6567        3.27815        14.4574        100.000        4.19716        2.68064        2.26564     
  15.2000        153.000        32.5995        60.6244        4.19304        50.6802        3.27290        14.3840        100.000        4.19304        2.69788        2.31901     
  15.3000        154.000        32.6272        60.5788        4.25046        50.7151        3.32939        14.3045        100.000        4.25046        2.73466        2.39332     
  15.4000        155.000        32.6352        60.5334        4.25885        50.7360        3.33666        14.2393        100.000        4.25885        2.76033        2.45529     
  15.5000        156.000        32.6586        60.4886        4.32256        50.7724        3.39945        14.1593        100.000        4.32256        2.80143        2.53411     
  15.6000        157.000        32.6715        60.4411        4.32068        50.7911        3.39643        14.0924        100.000        4.32068        2.82114        2.59010     
  15.7000        158.000        32.6908        60.3981        4.39490        50.8304        3.46976        14.0143        100.000        4.39490        2.86808        2.67488     
  15.8000        159.000        32.7074        60.3437        4.40522        50.8535        3.47894        13.9279        100.000        4.40522        2.89206        2.73571     
  15.9000        160.000        32.7355        60.2970        4.43350        50.8856        3.50621        13.8586        100.000        4.43350        2.91882        2.79943     
  16.0000        161.000        32.7449        60.2513        4.49859        50.9216        3.57032        13.7756        100.000        4.49859        2.96750        2.88605     
  16.1000        162.000        32.7411        60.2034        4.51808        50.9428        3.58869        13.6984        100.000        4.51808        3.00085        2.95640     
  16.2000        163.000        32.7708        60.1571        4.54396        50.9759        3.61358        13.6327        100.000        4.54396        3.02608        3.01847     
  16.3000        164.000        33.0283        60.1135        3.75052        50.9053        2.81881        13.9276        100.000        3.75052        2.58800        2.58800     
  16.4000        165.000        33.4834        60.2112        3.39312        51.0203        2.46342        14.5154        100.000        3.39312        2.21045        2.21045     
  16.5000        166.000        33.7573        60.2718        3.68657        51.2076        2.75891        14.7901        100.000        3.68657        2.23477        2.23477     
  16.6000        167.000        33.8493        60.2240        3.72600        51.2623        2.79787        14.8285        100.000        3.72600        2.26990        2.26990     
  16.7000        168.000        33.9207        60.1780        3.78805        51.3204        2.85942        14.8640        100.000        3.78805        2.32388        2.32388     
  16.8000        169.000        34.0048        60.1260        3.81909        51.3704        2.88989        14.8935        100.000        3.81909        2.36059        2.36059     
  16.9000        170.000        34.0976        60.0790        3.84260        51.4163        2.91287        14.9358        100.000        3.84260        2.38992        2.38992     
  17.0000        171.000        34.1956        60.0340        3.85684        51.4720        2.92663        14.9937        100.000        3.85684        2.40946        2.40946     
  17.1000        172.000        34.2803        59.9932        3.91269        51.5353        2.98205        15.0491        100.000        3.91269        2.45255        2.45255     
  17.2000        173.000        34.3749        59.9452        3.92563        51.5882        2.99445        15.0990        100.000        3.92563        2.47447        2.47447     
  17.3000        174.000        34.4767        59.8984        3.96978        51.6454        3.03816        15.1417        100.000        3.96978        2.50753        2.50753     
  17.4000        175.000        34.5570        59.8525        4.00441        51.7021        3.07225        15.1900        100.000        4.00441        2.54506        2.54506     
  17.5000        176.000        34.6692        59.8011        4.01621        51.7527        3.08353        15.2322        100.000        4.01621        2.56063        2.56063     
  17.6000        177.000        34.7671        59.7545        4.05920        51.8103        3.12606        15.2765        100.000        4.05920        2.59494        2.59494     
  17.7000        178.000        34.8340        59.7111        4.13513        51.8727        3.20148        15.3179        100.000        4.13513        2.65980        2.65980     
  17.8000        179.000        34.9135        59.6583        4.17051        51.9235        3.23624        15.3468        100.000        4.17051        2.70154        2.70154     
  17.9000        180.000        35.0036        59.6075        4.20530        51.9764        3.27044        15.3831        100.000        4.20530        2.73781        2.73781     
  18.0000        181.000        35.1041        59.5598        4.19706        52.0218        3.26166        15.4387        100.000        4.19706        2.74664        2.74664     
  18.1000        182.000        35.1984        59.5200        4.25537        52.0874        3.31957        15.4990        100.000        4.25537        2.78693        2.78693     
  18.2000        183.000        35.2933        59.4698        4.29002        52.1415        3.35367        15.5382        100.000        4.29002        2.82078        2.82078     
